,Introsang,Mappedyr,Hyldest til MF,ff Enheder,Semantikken og dø,Vaccinej tak,Natures Hule,Karrieredag,Pandafætter,Parforholdet,Krænkevise,2xForelæsning,Blank den og gå,JC,Ninjasangen,Hytteturens Planet,Med åbent sind,Russangen,Ølyoga,Lockdownunderholdning,Dyreprogram på C?,Min mus den lagger,UnitTest,Observation fra scene,Outtrosang,Sum:
a1,,CBS,,,,,,,,,,Fysikrus,,,,,,,,,,,,,,2
a2,,,,,,,,,Pige1,,,FysikForelæser,,,Sanger2,,,,,,,,,,,3
a3,,,,,,,,,Panda 2,,,,,,,,,,,,,,,,Sang,2
a4,,,,,,Sanger1,,,,,,,,,,,,Rus,,,Kemiker,,,,,3
a5,,David Attenbobo,,,,,,,,,,Biorus2,,,,,,,,,,Sanger2,,,,3
a6,,,,,,,,,,,,,,,,Rus,Sanger1,,,,,,,,,2
a7,,,,,,Sanger2,,,,Dreng,,,,,,,,,,,Fysik2,,,,,3
a8,,,,,,,,,,Pige,,,,,,,,,,Sanger2,,,,,,2
a9,,,,,,,,,,,,,,,,,,,Person,,Ekspert1,,,,,2
a10,,,,,,,,,,,,Fysikrus,,,,Skæv person,,,,,,,Fornavn Efternavn,,,3
a11,1,,,,,,,,,,,,,,,,Sanger2,,,,,,,,,2
a12,,,,,,,,,,,,,,,,,,,,,Flirtende Kemiker,,,,,1
a13,,,,Vred1,,,,,,,,,,,,,,,,,,,,,Sang,2
a14,,,,,,,,,,Terapeut,,,,,,,,,,,,,,,,1
a15,,,,,,,,Sanger2,,,,Biorus1,,,,,,,,,,,,,,2
a16,1,,,,,,,Sanger1,,,,,,,,,,,,,,,,,,2
a17,1,,,,,,,,,,,,,,Sanger3,,,,,,,,,,,2
a18,,,Kor1,,,,,,,,Sanger1,,,,,,,,,,,,,,,2
a19,,,,,,,,,,,,,,,,,,,,,,Sanger1,,,,1
a20,,,,,,,,,Panda 1,,,,,,,,,,,,,,,,Sang,2
a21,,,,,,Sanger3,,,,,,,,,,,,,,,,,,,,1
a22,,,,,,,,,,,,,,,,,,,,Sanger1,,,,,Sang,2
a23,,,,,,,,,,,,,Sanger1,,,,,,Person,,,,,,,2
a24,,,Rapper 2,,,,Voiceover,,,,,,,,,,,,,,,,,,,2
a25,,,,,,,,,,,,,,,,,,,,,,,,,,0
a26,,,,,,,,,,,,,,JC2,,,,,Person,,Nano1,,,,,3
a27,,,,,,,,Sanger3,,,,,,,,,,,Yogalærer,,,,,,,2
a28,,,,,,,,,,,,RusImidten,,,Sanger1,,,,,,Fysik1,,,,,3
a29,,Djoef,,,,,,,,,,,,JC1,,David Attenbobo,,,,,Datalog,,,,,4
a30,,,,,Sanger2,,,,,,,,Sanger2,,,,,,,,,,,,,2
a31,,,Kor3,,,,,,,,Sanger2,,,,,,,,,,,,,,,2
a32,,,Rapper 1,,,,,,,,,,,,,Utro person,,,,,,,,,,2
a33,,,,,Sanger1,,,,,,,Bioforelæser,,,,,,,,,,,,,,2
a34,,,Kor2,,,,,,,,,,Sanger3,,,,,,,,,,,,,2
a35,,,,Vred2,,,,,,,,,,Solvejg,,Ryger person,,,,,,,,,,3
a36,,,,,,,,,,,,,,,,,,,,,,,,,,0
a37,,,,,,,,,,,,,,,,,,,,,,,,,,0
a38,1,,,,,,,,,,,,,,,Punktlig person,,,,,,,Fornavn Mellem Efternavn,,,3
a39,,,,,,,,,,,Sanger3,,,,,,,Professor,,,,,,,,2
a40,,,,,,,Daniel Ropers,,,,,,,,,,,,Person,,Nano2,,,,,3
a41,,,,,,,,,,,,,,,,Meget fuld person,,,,,,,,David Attenbobo,,2
a42,,,,,,,,,,,,,,,,,,,,,,,,,,
a43,,,,,,,,,,,,,,,,,,,,,,,,,,
